Ctyname,stname,ststatus,stcode,ctycode,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Cases2020,cases2021,cases2022,cases2023
McDonough County,Illinois,Low Incidence,17,109,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,1,1
McHenry County,Illinois,Low Incidence,17,111,0,2,5,6,7,8,6,3,6,1,18,26,36,31,20,24,30,29,34,27,58,20,23
McLean County,Illinois,Low Incidence,17,113,0,0,0,1,0,0,5,1,4,2,1,1,2,2,2,2,3,4,8,2,2,3,2
Macon County,Illinois,Low Incidence,17,115,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Macoupin County,Illinois,Low Incidence,17,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0
Madison County,Illinois,Low Incidence,17,119,0,0,0,0,1,0,1,0,1,0,0,1,1,0,2,1,0,2,2,0,0,0,0
Marion County,Illinois,Low Incidence,17,121,0,1,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,3,0,0,0,0,0
Marshall County,Illinois,Low Incidence,17,123,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
Mason County,Illinois,Low Incidence,17,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Massac County,Illinois,Low Incidence,17,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Menard County,Illinois,Low Incidence,17,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Mercer County,Illinois,Low Incidence,17,131,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1
Monroe County,Illinois,Low Incidence,17,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Illinois,Low Incidence,17,135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Morgan County,Illinois,Low Incidence,17,137,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0
Moultrie County,Illinois,Low Incidence,17,139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Ogle County,Illinois,Low Incidence,17,141,2,1,3,5,6,3,6,5,4,5,3,7,3,5,6,3,5,2,1,6,7,2,2
Peoria County,Illinois,Low Incidence,17,143,0,1,1,0,3,3,2,2,3,2,5,5,4,7,6,5,4,4,8,2,10,3,14
Perry County,Illinois,Low Incidence,17,145,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Piatt County,Illinois,Low Incidence,17,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Pike County,Illinois,Low Incidence,17,149,2,2,1,0,1,0,5,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Pope County,Illinois,Low Incidence,17,151,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Pulaski County,Illinois,Low Incidence,17,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam County,Illinois,Low Incidence,17,155,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,2,0,1,0,3
Randolph County,Illinois,Low Incidence,17,157,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Richland County,Illinois,Low Incidence,17,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Island County,Illinois,Low Incidence,17,161,1,2,5,2,1,1,3,2,4,2,1,1,5,3,7,0,2,6,8,5,8,4,3
St. Clair County,Illinois,Low Incidence,17,163,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,1,0,0,2,2,0,0,0
Saline County,Illinois,Low Incidence,17,165,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
Sangamon County,Illinois,Low Incidence,17,167,0,1,0,2,0,0,0,1,3,0,1,1,0,0,1,1,1,2,2,1,1,0,1
Schuyler County,Illinois,Low Incidence,17,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Scott County,Illinois,Low Incidence,17,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby County,Illinois,Low Incidence,17,173,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Stark County,Illinois,Low Incidence,17,175,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Stephenson County,Illinois,Low Incidence,17,177,2,1,1,0,0,0,0,2,2,1,2,0,0,1,1,1,0,5,2,2,1,0,1
Tazewell County,Illinois,Low Incidence,17,179,0,0,0,0,1,0,2,1,0,5,3,2,5,3,4,2,2,3,4,4,7,1,7
Union County,Illinois,Low Incidence,17,181,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Vermilion County,Illinois,Low Incidence,17,183,0,0,1,0,0,0,0,0,0,1,2,1,7,2,3,0,3,0,0,2,1,0,2
Wabash County,Illinois,Low Incidence,17,185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1
Warren County,Illinois,Low Incidence,17,187,0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,0,0,0,2,2,1,0,0
Washington County,Illinois,Low Incidence,17,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wayne County,Illinois,Low Incidence,17,191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White County,Illinois,Low Incidence,17,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiteside County,Illinois,Low Incidence,17,195,1,0,1,0,0,0,0,2,0,1,0,1,8,4,7,2,1,0,2,3,3,6,3
Will County,Illinois,Low Incidence,17,197,3,2,4,7,5,11,8,7,4,6,6,8,13,14,16,16,20,11,22,9,31,20,16
Williamson County,Illinois,Low Incidence,17,199,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,0,0
Winnebago County,Illinois,Low Incidence,17,201,3,5,5,2,9,2,11,4,14,11,9,8,7,8,7,8,6,10,15,20,24,13,14
Woodford County,Illinois,Low Incidence,17,203,1,0,0,1,0,0,1,1,2,1,1,1,0,1,2,1,0,4,3,2,4,0,0
Adams County,Indiana,Low Incidence,18,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0
Allen County,Indiana,Low Incidence,18,3,1,0,2,2,2,0,2,1,3,2,3,0,2,2,2,0,2,1,2,1,6,1,4
Bartholomew County,Indiana,Low Incidence,18,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,1,3,2,3,2
Benton County,Indiana,Low Incidence,18,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Blackford County,Indiana,Low Incidence,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone County,Indiana,Low Incidence,18,11,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,1,1,0,1,3
Brown County,Indiana,Low Incidence,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
Carroll County,Indiana,Low Incidence,18,15,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,4,1,0
Cass County,Indiana,Low Incidence,18,17,0,1,0,0,1,2,0,0,0,2,0,2,1,3,1,2,1,2,3,1,3,0,4
Clark County,Indiana,Low Incidence,18,19,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,2,2,2,3,5,1
Clay County,Indiana,Low Incidence,18,21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,2
Clinton County,Indiana,Low Incidence,18,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Crawford County,Indiana,Low Incidence,18,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Daviess County,Indiana,Low Incidence,18,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dearborn County,Indiana,Low Incidence,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,2,1,2
Decatur County,Indiana,Low Incidence,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DeKalb County,Indiana,Low Incidence,18,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Delaware County,Indiana,Low Incidence,18,35,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,0,1
Dubois County,Indiana,Low Incidence,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Elkhart County,Indiana,Low Incidence,18,39,0,2,1,1,1,0,1,1,2,2,0,0,0,2,3,8,4,3,5,11,15,10,6
Fayette County,Indiana,Low Incidence,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Floyd County,Indiana,Low Incidence,18,43,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,2,2
Fountain County,Indiana,Low Incidence,18,45,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,1
Franklin County,Indiana,Low Incidence,18,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,9,4,2
Fulton County,Indiana,Low Incidence,18,49,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,3,5,4,6,10,1,3
Gibson County,Indiana,Low Incidence,18,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Grant County,Indiana,Low Incidence,18,53,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Greene County,Indiana,Low Incidence,18,55,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,3,2,3,1
Hamilton County,Indiana,Low Incidence,18,57,2,0,0,1,0,2,7,3,4,3,3,3,0,1,3,2,4,5,5,6,7,6,3
Hancock County,Indiana,Low Incidence,18,59,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,1,1
Harrison County,Indiana,Low Incidence,18,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
Hendricks County,Indiana,Low Incidence,18,63,0,1,2,0,1,0,0,0,0,1,1,0,1,3,3,0,0,0,1,1,5,0,2
Henry County,Indiana,Low Incidence,18,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Howard County,Indiana,Low Incidence,18,67,0,1,0,1,0,0,0,0,3,2,0,1,0,1,0,1,1,1,0,0,0,0,0
Huntington County,Indiana,Low Incidence,18,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0
Jackson County,Indiana,Low Incidence,18,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0
Jasper County,Indiana,Low Incidence,18,73,0,0,2,0,0,0,3,0,2,0,1,3,0,3,0,1,2,2,6,4,8,4,5
Jay County,Indiana,Low Incidence,18,75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,Indiana,Low Incidence,18,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,2,2,0
Jennings County,Indiana,Low Incidence,18,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Johnson County,Indiana,Low Incidence,18,81,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,2,3,2,5,0,0
Knox County,Indiana,Low Incidence,18,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Kosciusko County,Indiana,Low Incidence,18,85,0,0,1,0,0,0,0,0,0,1,1,0,3,0,4,2,3,0,2,5,9,5,9
LaGrange County,Indiana,Low Incidence,18,87,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,2
Lake County,Indiana,Low Incidence,18,89,1,1,1,1,5,2,5,3,5,2,7,5,5,6,8,9,8,14,5,4,9,4,16
LaPorte County,Indiana,Low Incidence,18,91,0,3,1,2,2,3,4,5,4,5,6,3,9,4,7,7,12,11,9,14,13,2,8
Lawrence County,Indiana,Low Incidence,18,93,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,2
Madison County,Indiana,Low Incidence,18,95,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0
Marion County,Indiana,Low Incidence,18,97,1,1,0,3,2,4,1,0,0,0,5,4,4,3,5,9,7,6,5,3,7,4,12
Marshall County,Indiana,Low Incidence,18,99,1,0,1,0,1,0,1,1,1,0,8,1,4,7,1,10,6,8,3,5,7,7,6
Martin County,Indiana,Low Incidence,18,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami County,Indiana,Low Incidence,18,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,1,2
Monroe County,Indiana,Low Incidence,18,105,2,2,1,4,0,0,1,0,1,3,0,1,0,0,0,0,2,4,4,4,2,2,0
Montgomery County,Indiana,Low Incidence,18,107,1,0,0,0,0,0,0,2,0,3,4,2,0,1,2,3,2,2,0,1,2,0,0
Morgan County,Indiana,Low Incidence,18,109,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,2,0,1,1,1
Newton County,Indiana,Low Incidence,18,111,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1
Noble County,Indiana,Low Incidence,18,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Ohio County,Indiana,Low Incidence,18,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Orange County,Indiana,Low Incidence,18,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
Owen County,Indiana,Low Incidence,18,119,0,0,0,0,0,0,0,1,0,2,2,0,4,1,2,3,1,2,3,4,2,0,3
Parke County,Indiana,Low Incidence,18,121,0,0,0,0,0,0,0,1,0,0,2,0,4,0,1,2,4,2,1,1,2,1,1
Perry County,Indiana,Low Incidence,18,123,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Pike County,Indiana,Low Incidence,18,125,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Porter County,Indiana,Low Incidence,18,127,0,0,3,4,5,1,5,5,10,7,15,15,19,16,13,18,19,20,11,14,19,10,13
Posey County,Indiana,Low Incidence,18,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pulaski County,Indiana,Low Incidence,18,131,0,1,1,0,1,0,1,0,1,3,0,0,0,1,3,2,1,4,1,2,0,3,0
Putnam County,Indiana,Low Incidence,18,133,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,3,1,1,1,2,2
Randolph County,Indiana,Low Incidence,18,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripley County,Indiana,Low Incidence,18,137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4,3,0,2
Rush County,Indiana,Low Incidence,18,139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Joseph County,Indiana,Low Incidence,18,141,2,3,1,3,1,2,4,6,10,5,10,10,16,21,31,21,25,21,19,25,40,17,19
Scott County,Indiana,Low Incidence,18,143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Shelby County,Indiana,Low Incidence,18,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spencer County,Indiana,Low Incidence,18,147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Starke County,Indiana,Low Incidence,18,149,2,0,0,0,0,0,0,3,2,6,2,5,5,4,4,2,0,0,2,0,3,2,3
Steuben County,Indiana,Low Incidence,18,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
Sullivan County,Indiana,Low Incidence,18,153,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Switzerland County,Indiana,Low Incidence,18,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Tippecanoe County,Indiana,Low Incidence,18,157,0,0,1,1,2,1,3,1,2,0,2,3,1,4,4,2,3,2,3,6,6,1,5
Tipton County,Indiana,Low Incidence,18,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,Indiana,Low Incidence,18,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanderburgh County,Indiana,Low Incidence,18,163,2,1,1,2,0,0,2,2,3,2,0,2,0,0,0,0,3,0,2,2,2,1,1
Vermillion County,Indiana,Low Incidence,18,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Vigo County,Indiana,Low Incidence,18,167,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,5,0,1,4,5,5,1
Wabash County,Indiana,Low Incidence,18,169,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,2,2,1
Warren County,Indiana,Low Incidence,18,171,0,0,0,0,0,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Warrick County,Indiana,Low Incidence,18,173,0,0,1,1,0,0,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
Washington County,Indiana,Low Incidence,18,175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
Wayne County,Indiana,Low Incidence,18,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Wells County,Indiana,Low Incidence,18,179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
White County,Indiana,Low Incidence,18,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,1,0
Whitley County,Indiana,Low Incidence,18,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Adair County,Iowa,Low Incidence,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adams County,Iowa,Low Incidence,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Allamakee County,Iowa,Low Incidence,19,5,3,2,1,2,8,4,5,4,2,1,11,11,9,4,5,7,2,10,3,2,3,1,1
Appanoose County,Iowa,Low Incidence,19,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,2
Audubon County,Iowa,Low Incidence,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton County,Iowa,Low Incidence,19,11,0,0,0,0,3,2,0,1,0,0,2,0,4,0,14,3,9,5,5,2,5,1,1
Black Hawk County,Iowa,Low Incidence,19,13,0,0,1,2,3,3,0,2,1,1,3,5,6,2,8,3,7,4,5,2,0,4,4
Boone County,Iowa,Low Incidence,19,15,0,0,1,1,0,1,0,0,0,1,0,3,4,0,5,0,2,3,3,4,5,0,1
Bremer County,Iowa,Low Incidence,19,17,0,0,0,0,1,1,1,1,0,0,0,1,3,0,0,0,1,1,1,2,0,0,0
Buchanan County,Iowa,Low Incidence,19,19,0,0,0,0,0,2,0,2,0,0,0,1,3,1,3,4,0,3,1,1,0,1,1
Buena Vista County,Iowa,Low Incidence,19,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Butler County,Iowa,Low Incidence,19,23,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0
Calhoun County,Iowa,Low Incidence,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Carroll County,Iowa,Low Incidence,19,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cass County,Iowa,Low Incidence,19,29,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Cedar County,Iowa,Low Incidence,19,31,0,0,1,0,1,1,1,0,2,1,1,0,0,0,1,5,4,1,1,2,5,0,1
Cerro Gordo County,Iowa,Low Incidence,19,33,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,2,2,0,0,1,0
Cherokee County,Iowa,Low Incidence,19,35,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Chickasaw County,Iowa,Low Incidence,19,37,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,2,1,1,2,0,1,0,0
Clarke County,Iowa,Low Incidence,19,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Clay County,Iowa,Low Incidence,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton County,Iowa,Low Incidence,19,43,2,1,1,3,5,5,6,10,10,10,13,12,17,6,14,12,16,8,17,10,10,3,4
Clinton County,Iowa,Low Incidence,19,45,1,0,0,1,1,0,2,5,1,0,1,3,2,6,5,4,0,1,4,2,4,1,3
Crawford County,Iowa,Low Incidence,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
Dallas County,Iowa,Low Incidence,19,49,0,1,0,0,0,1,1,1,3,0,0,1,1,2,4,2,3,4,7,6,7,5,9
Davis County,Iowa,Low Incidence,19,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,1,4
Decatur County,Iowa,Low Incidence,19,53,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0
Delaware County,Iowa,Low Incidence,19,55,0,0,1,1,1,2,1,2,1,1,0,2,7,0,9,5,3,2,4,3,2,6,2
Des Moines County,Iowa,Low Incidence,19,57,1,2,1,0,0,0,1,0,1,0,2,0,5,4,2,1,1,2,1,5,3,1,0
Dickinson County,Iowa,Low Incidence,19,59,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,2
Dubuque County,Iowa,Low Incidence,19,61,0,3,4,2,3,7,5,7,8,5,12,9,29,17,27,22,36,33,30,27,50,16,27
Emmet County,Iowa,Low Incidence,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Fayette County,Iowa,Low Incidence,19,65,0,0,1,3,1,3,7,1,2,2,3,4,1,1,2,4,3,3,1,1,1,0,2
Floyd County,Iowa,Low Incidence,19,67,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0
Franklin County,Iowa,Low Incidence,19,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Fremont County,Iowa,Low Incidence,19,71,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene County,Iowa,Low Incidence,19,73,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grundy County,Iowa,Low Incidence,19,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Guthrie County,Iowa,Low Incidence,19,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Hamilton County,Iowa,Low Incidence,19,79,0,0,0,0,0,2,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0
Hancock County,Iowa,Low Incidence,19,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Hardin County,Iowa,Low Incidence,19,83,0,1,2,0,0,0,0,1,0,0,1,1,3,1,0,1,1,0,1,1,0,0,1
Harrison County,Iowa,Low Incidence,19,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Henry County,Iowa,Low Incidence,19,87,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,2,4,4,2,1,3
Howard County,Iowa,Low Incidence,19,89,0,0,0,0,0,3,2,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
Humboldt County,Iowa,Low Incidence,19,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida County,Iowa,Low Incidence,19,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Iowa County,Iowa,Low Incidence,19,95,5,2,0,3,1,2,8,6,3,2,0,1,5,2,1,3,0,3,3,2,3,3,8
Jackson County,Iowa,Low Incidence,19,97,0,1,1,0,2,1,3,1,3,4,4,3,12,10,8,6,7,4,6,5,6,2,4
Jasper County,Iowa,Low Incidence,19,99,1,1,1,0,1,2,2,0,1,1,0,1,1,3,0,1,2,2,0,2,4,1,2
Jefferson County,Iowa,Low Incidence,19,101,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,2,1,4,4,0,3,1,1
Johnson County,Iowa,Low Incidence,19,103,2,3,4,6,13,11,28,16,25,24,13,26,40,42,66,38,43,58,57,43,67,34,32
Jones County,Iowa,Low Incidence,19,105,1,0,2,0,0,0,0,1,0,0,0,1,0,0,3,1,4,2,1,5,6,3,3
Keokuk County,Iowa,Low Incidence,19,107,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,0,1,1
Kossuth County,Iowa,Low Incidence,19,109,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
Lee County,Iowa,Low Incidence,19,111,1,0,2,0,0,0,2,2,2,0,0,1,0,2,2,0,0,4,1,4,3,1,2
Linn County,Iowa,Low Incidence,19,113,2,2,6,1,5,10,10,5,8,8,10,13,15,19,39,42,33,47,40,44,40,18,31
Louisa County,Iowa,Low Incidence,19,115,0,0,0,0,0,2,2,3,1,0,0,3,0,1,1,0,0,0,2,0,2,1,0
Lucas County,Iowa,Low Incidence,19,117,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,5,0,1
Lyon County,Iowa,Low Incidence,19,119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,Iowa,Low Incidence,19,121,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,2,0,1
Mahaska County,Iowa,Low Incidence,19,123,0,0,0,0,0,1,0,1,1,0,0,1,1,0,4,0,0,1,4,2,3,1,2
Marion County,Iowa,Low Incidence,19,125,0,2,1,0,1,0,2,0,0,0,1,4,4,9,6,3,1,2,4,5,10,2,1
